id,title,author,src
video105,Robotic Radical Prostatectomy with Bladder Neck Sparing Technique in 20 April 2018,Prof. Dr. Lütfi Tunç,http://dg1fmc8qbela5.cloudfront.net/video105.mp4
video106,Robotic Radical Prostatectomy with Bladder Neck Sparing Technique in16 February 2019,Prof. Dr. Lütfi Tunç,http://dg1fmc8qbela5.cloudfront.net/video106.mp4
video107,"Robotic radical prostatectomy, Nerve preservation by lateral approach, full length.",UROLOGIE SAINT AUGUSTIN,http://dg1fmc8qbela5.cloudfront.net/video107.mp4
video108,"Robotic Retzius-sparing radical prostatectomy, full unedited surgery by Rabii Madi, MD",rabih33,http://dg1fmc8qbela5.cloudfront.net/video108.mp4
video109,Robotic Transvesical Suprapubic Prostatectomy,Nick Donin,http://dg1fmc8qbela5.cloudfront.net/video109.mp4
video110,Robotic-assisted laparoscopic radical prostatectomy (console time 27 min uncut version),"Yifan Chang, M.D.",http://dg1fmc8qbela5.cloudfront.net/video110.mp4
video111,"SA-48 Laparoscopic radical prostatectomy - nerve sparing - no editing - Serdar Aykan, MD Assoc Prof",SERDAR AYKAN,http://dg1fmc8qbela5.cloudfront.net/video111.mp4
video112,Salvage radical prostatectomy,TNM Urology,http://dg1fmc8qbela5.cloudfront.net/video112.mp4
video113,Salvage Robotic-Assisted Prostatectomy- March 2016,AdventHealth Global Robotics Institute,http://dg1fmc8qbela5.cloudfront.net/video113.mp4
video114,simple prostatectomy rasp robotic,Bernardo Rocco,http://dg1fmc8qbela5.cloudfront.net/video114.mp4
video115,Ultra-wide excision of neurovascular bundles in robotic prostatectomy for T3bN0M0 prostate cancer.,Santis,http://dg1fmc8qbela5.cloudfront.net/video115.mp4
video116,Unedited robotic-assisted laparoscopic radical prostatectomy with extended pelvic lymphadenectomy,UrologyRobotics,http://dg1fmc8qbela5.cloudfront.net/video116.mp4
video117,Urethrovesical anastomosis during laparoscopic radical prostatectomy,Uro surgery,http://dg1fmc8qbela5.cloudfront.net/video117.mp4
video118,Urology Teaching Collaborative | 5/28/20 | Dr. John Davis: Robotic Prostatectomy,Urology Teaching Collaborative - Albany Med.,http://dg1fmc8qbela5.cloudfront.net/video118.mp4
video119,urologybook.com moinzadeh robotic assisted laparoscopic radical prostatectomy with nerve sparing,urologybook,http://dg1fmc8qbela5.cloudfront.net/video119.mp4
video120,Vipul Patel - Robotic Nerve Sparing Prostatectomy,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video120.mp4
video121,Weill Cornell Urology: Dr. Jim C. Hu - Radical Prostatectomy,Weill Cornell Urology,http://dg1fmc8qbela5.cloudfront.net/video121.mp4
video122,Laparoscopic Radical Prostatectomy (Semi Live) | Surgical Videos,Asian Institute of Nephrology & Urology,http://dg1fmc8qbela5.cloudfront.net/video122.mp4
video123,da Vinci Robotic Prostatectomy 3D Video - Dr. Eric Diner,Eric K. Diner MD,http://dg1fmc8qbela5.cloudfront.net/video123.mp4
video124,Robotic Radical Prostatectomy with Lymph Node Dissection,Eric K. Diner MD,http://dg1fmc8qbela5.cloudfront.net/video124.mp4
video125,Lap simple prostatectomy transvesical approach/лапароскопическая аденомэктомия/Живая хирургия/Кочкин,Dr Alexey D. Kochkin,http://dg1fmc8qbela5.cloudfront.net/video125.mp4
video126,Robotic inguinal hernia repair during Radical Prostatectomy,Robotic Surgery,http://dg1fmc8qbela5.cloudfront.net/video126.mp4
video127,CILR 2008 - Richard Gaston - Robotic assisted radical prostatectomy,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video127.mp4
video128,Minimally Invasive Prostatectomy To Treat Prostate Cancer - Dr. Eric Diner,Eric K. Diner MD,http://dg1fmc8qbela5.cloudfront.net/video128.mp4
video129,"SA-38 Laparoscopic Radical Prostatectomy - nerve sparing (full-no editing)-5 . SERDAR AYKAN, MD",SERDAR AYKAN,http://dg1fmc8qbela5.cloudfront.net/video129.mp4
video130,lap radical prostatectomy part 2,lap radical prostatectomy part 2,http://dg1fmc8qbela5.cloudfront.net/video130.mp4
video131,lap radical prostatectomy part 1,lap radical prostatectomy part 1,http://dg1fmc8qbela5.cloudfront.net/video131.mp4
video132,Robotic Simple Prostatectomy,Robotic Simple Prostatectomy,http://dg1fmc8qbela5.cloudfront.net/video132.mp4
video133,Robotic Prostatectomy Performed By Dr. Jason Engel,"Jason D. Engel, M.D.",http://dg1fmc8qbela5.cloudfront.net/video133.mp4
video134,Robot-assisted radical prostatectomy - Koon Ho Rha,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video134.mp4
video135,CILR 2016 - Kris Maes - Robotic radical prostatectomy,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video135.mp4
